,Issue,Consumer complaint narrative,Company public response,Complaint ID
0,Communication tactics,"I got my XXXX call around XXXX XXXX. I was up so answered it. I told the lady she had the wrong person. Now every weekday, I receive a call anywhere from XXXX. to XXXX. I have had at least XXXX of them. I have not received any written mail from this company. When I try to call back I am asked to give a case number that I do n't have, and then can not get to talk to anyone.",Company chooses not to provide a public response,1327256
1,Cont'd attempts collect debt not owed,XXXX bill that is not mine I never lived in NJ nor had a XXXX bill In my name,Company believes it acted appropriately as authorized by contract or law,2252526
2,Cont'd attempts collect debt not owed,"XXXX XXXX XXXX of XXXX XXXX Ca charged me XXXX XXXX times ( Same item ) Called and reversed XXXX charge. On XXXX daughter XXXX XXXX XXXX, XXXX NY was charged also.This is for me and bought for me by family members I agreed to pay after second yr.Mailed proof to XXXX charges XXXX reversed as of XXXX. Someway Sears card ( CITY BANK ) got into this after I already had a reversal and charged me again on XXXX.Do n't know how sears got into this since I got a reversal of charges on XXXX. Rcd letter from Sears Credit services on same day that another charge was posted on my card. Owed a charge back. 
Charge card showed all transactions clearly. Do n't they ever proof read their bills, especially since I brought it to their attention. 
I wish that XXXX XXXX and Sears Crdit compensate me for this hilarious and confusing billing. Send a rebate for all charges, including original, refund my daughter fo billing her.Send a carton for shipping item back. At that point I will go elsewhere for an alert system. All charges amount to about XXXX ( Plus aggravation that never seems to end. )",Company chooses not to provide a public response,1316008
3,Cont'd attempts collect debt not owed,"According to my credit report from XXXX, I have an open collection from Penn Credit Corporation which I have no knowledge of.",Company believes it acted appropriately as authorized by contract or law,2402337
4,Cont'd attempts collect debt not owed,"This debt from my XXXX and according to the insurance they all paid as they received. ( XXXX, XXXX, XXXX, XXXX and XXXX bills.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,1946820
5,Cont'd attempts collect debt not owed,Please see attached narrative regarding complaint. Collection agency took illegal steps and filed a XXXX against me with the XXXX. ( Narrative and complaint filed by XXXX advocate on behalf of the individual named herein. ),Company believes it acted appropriately as authorized by contract or law,1876621
6,Cont'd attempts collect debt not owed,"I contacted XXXX to inquire about lowering my monthly bill. They suggested I do automatic withdrawal. I decided against having it automatically deducted so I did nothing. I continued to make my payments on the first of the month ( 2 weeks before they were due ). Six months later I decided to change service providers and was told that since I had inquired about automatic deduction ( which I did n't ) I had entered into a new contract and there was a cancellation fee of {$150.00}. I signed nothing, simply inquired about lowering my monthly bill since I am on a fixed income. I either pay or my credit rating is affected.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,2251901
7,Cont'd attempts collect debt not owed,"Credit corporation is attempting to extort money from me because I am a XXXX XXXX living on a fixed income. The original creditor, XXXX, charged me for services that were never performed. The XXXX XXXX Jail paid the original creditor in full. The original creditor then billed my medicare insurance for services that were not received. Medicare paid the XXXX for the non existence services. This was Medicare fraud. Now the original creditor has turned the collection over to the Credit Control Corporation who is harassing me for {$2000.00}. I did n't sign any paperwork for medical services. Credit control corporation is conspiring with the original creditor to defraud and extort money from me.There is no proof that I owe any money because I did n't sign anything. XXXX. XXXX do n't pay hospital bills, The XXXX Sheriffs Office pays all XXXX medical bills. Collecting money from my Medicare insurance is a felony. Putting negative info on my credit report is extortion. I never received any medical care. I refused treatment. The bill was paid by the XXXX Sheriffs office and Medicare.",Company disputes the facts presented in the complaint,2029279
8,Cont'd attempts collect debt not owed,"My name is XXXX and I a member of the armed forces. One year ago I discover an third party collection agency under the name of Orion Recovery place a collection on my credit report. I never had a contract with this company XXXX. I was XXXX during the time frame that they state I had a contract. I being trying to dispute this company with no luck. This company is damaging my credit rating and is charging 8 % interest every month. I would like to have this inaccurate claim deleted from my credit report. I have only been in contact with this company via email. I would like this company to be investigated, I feel as thought this company is scam. Orion Recovery is not bonded or insure in the state of North Carolina in which I reside. Thank you, for your time.",Company believes it acted appropriately as authorized by contract or law,2387250
9,Cont'd attempts collect debt not owed,They keep calling me although they have the wrong name. I told them in so many words but they still call.,Company chooses not to provide a public response,1433299
10,Cont'd attempts collect debt not owed,"I received a ticket and now a notice from a collection agency for a toll violation in the state of Delaware which I do not believe is mine. I was not the driver of the vehicle at that time and therefore I do not believe a collection agency has the right to penalize some one for owning a vehicle that may have violated a few dollar toll, and then attempt to collect {$66.00} from that person by threatening derogatory credit reporting without proof of who actually committed the alleged violation.",Company believes it acted appropriately as authorized by contract or law,2075360
11,Disclosure verification of debt,"I was a member of XXXX XXXX, XXXX, NY. When I joined the XXXX XXXX, In XXXX XXXX, I informed XXXX of my XXXX and asked to terminate contract. My mailing address was in NY, so I did not receive anything of the debt until XXXX XXXX. I received a letter from the gym stating owing them debt dated XXXX XXXX. I contacted the Gym, and they directed me to First Credit Services debt collection. I contacted First Credit, and spoke to XXXX XXXX. He told me that I owed them {$430.00}, which was considerably higher than the amount the Gym claimed I owed. I have not received any written notice of the debt from First Credit Services, and I gave them an updated address. I have sent a letter requesting a validation of the debt, but I have not received anything.",Company believes it acted appropriately as authorized by contract or law,2029268
12,False statements or representation,"Receivable Management Group , Inc. 
XXXX XXXX XXXX, # XXXX, XXXX, Ga : Agent XXXX XXXX, is doubling multiply provider accounts into XXXX account and listing as total debt under XXXX account, i.e. XXXX, XXXX XXXX XXXX statement dated XXXX/XXXX/15 {$560.00}. I called XXXX XXXX XXXX asking how can this be. They have no record of owing no more than {$39.00}.",Company believes it acted appropriately as authorized by contract or law,1598477
13,False statements or representation,I was bailed out of jail by my father and i made arrangements to pay my debt payments but missed payments and is filing bankruptcy and in return they put it on my fathers credit report,Company has responded to the consumer and the CFPB and chooses not to provide a public response,2428180
